aisle_id,aisle,aisle_order_count
24,fresh fruits,3792661
83,fresh vegetables,3568630
123,packaged vegetables fruits,1843806
120,yogurt,1507583
21,packaged cheese,1021462
84,milk,923659
115,water seltzer sparkling water,878150
107,chips pretzels,753739
91,soy lactosefree,664493
112,bread,608469
31,refrigerated,599109
116,frozen produce,545107
37,ice cream ice,521101
78,crackers,478430
3,energy granola bars,473835
86,eggs,472009
96,lunch meat,412087
38,frozen meals,408520
92,baby food formula,395654
16,fresh herbs,393793
