product_id,product_name,product_order_count
24852,Banana,491291
13176,Bag of Organic Bananas,394930
21137,Organic Strawberries,275577
21903,Organic Baby Spinach,251705
47209,Organic Hass Avocado,220877
47766,Organic Avocado,184224
47626,Large Lemon,160792
16797,Strawberries,149445
26209,Limes,146660
27845,Organic Whole Milk,142813
27966,Organic Raspberries,142603
22935,Organic Yellow Onion,117716
24964,Organic Garlic,113936
45007,Organic Zucchini,109412
39275,Organic Blueberries,105026
49683,Cucumber Kirby,99728
28204,Organic Fuji Apple,92889
5876,Organic Lemon,91251
40706,Organic Grape Tomatoes,88078
8277,Apple Honeycrisp Organic,87272
